,合约代码   ,昨结算    ,今开盘    ,最高价    ,最低价    ,今收盘    ,今结算    ,涨跌1     ,涨跌2     ,成交量(手),持仓量    ,增减量    ,成交额(万元),DELTA     ,隐含波动率,行权量,date
4106,CF409C14800,"1,309.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,270.00  ",-39.00    ,-39.00    ,0         ,0         ,0         ,0.00        ,0.6618    ,15.89     ,0,2023-11-08
4107,CF409C15000,"1,192.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,152.00  ",-40.00    ,-40.00    ,0         ,0         ,0         ,0.00        ,0.6258    ,15.88     ,0,2023-11-08
4108,CF409C15200,"1,075.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,038.00  ",-37.00    ,-37.00    ,0         ,3         ,0         ,0.00        ,0.5898    ,15.86     ,0,2023-11-08
4109,CF409C15400,972.00    ,0.00      ,0.00      ,0.00      ,0.00      ,937.00    ,-35.00    ,-35.00    ,0         ,6         ,0         ,0.00        ,0.5530    ,15.85     ,0,2023-11-08
4110,CF409C15600,870.00    ,0.00      ,0.00      ,0.00      ,0.00      ,836.00    ,-34.00    ,-34.00    ,0         ,6         ,0         ,0.00        ,0.5163    ,15.84     ,0,2023-11-08
4111,CF409C15800,780.00    ,0.00      ,0.00      ,0.00      ,0.00      ,750.00    ,-30.00    ,-30.00    ,0         ,3         ,0         ,0.00        ,0.4800    ,15.82     ,0,2023-11-08
4112,CF409C16000,695.00    ,0.00      ,0.00      ,0.00      ,0.00      ,665.00    ,-30.00    ,-30.00    ,0         ,2         ,0         ,0.00        ,0.4439    ,15.81     ,0,2023-11-08
4113,CF409C16200,618.00    ,0.00      ,0.00      ,0.00      ,0.00      ,592.00    ,-26.00    ,-26.00    ,0         ,0         ,0         ,0.00        ,0.4092    ,15.80     ,0,2023-11-08
4114,CF409C16400,549.00    ,0.00      ,0.00      ,0.00      ,0.00      ,524.00    ,-25.00    ,-25.00    ,0         ,0         ,0         ,0.00        ,0.3753    ,15.82     ,0,2023-11-08
4115,CF409C16600,485.00    ,0.00      ,0.00      ,0.00      ,0.00      ,464.00    ,-21.00    ,-21.00    ,0         ,3         ,0         ,0.00        ,0.3434    ,15.85     ,0,2023-11-08
4116,CF409C16800,430.00    ,0.00      ,0.00      ,0.00      ,0.00      ,409.00    ,-21.00    ,-21.00    ,0         ,2         ,0         ,0.00        ,0.3128    ,15.87     ,0,2023-11-08
4117,CF409C17000,376.00    ,0.00      ,0.00      ,0.00      ,0.00      ,358.00    ,-18.00    ,-18.00    ,0         ,4         ,0         ,0.00        ,0.2834    ,15.90     ,0,2023-11-08
4118,CF409C17200,333.00    ,0.00      ,0.00      ,0.00      ,0.00      ,316.00    ,-17.00    ,-17.00    ,0         ,3         ,0         ,0.00        ,0.2568    ,15.92     ,0,2023-11-08
4119,CF409C17400,291.00    ,0.00      ,0.00      ,0.00      ,0.00      ,274.00    ,-17.00    ,-17.00    ,0         ,5         ,0         ,0.00        ,0.2304    ,15.95     ,0,2023-11-08
4120,CF409C17600,254.00    ,273.00    ,273.00    ,273.00    ,273.00    ,241.00    ,19.00     ,-13.00    ,3         ,5         ,3         ,0.41        ,0.2076    ,15.97     ,0,2023-11-08
4121,CF409C17800,222.00    ,241.00    ,241.00    ,240.00    ,240.00    ,209.00    ,18.00     ,-13.00    ,9         ,15        ,3         ,1.08        ,0.1855    ,16.00     ,0,2023-11-08
4122,CF409C18000,191.00    ,213.00    ,213.00    ,213.00    ,213.00    ,181.00    ,22.00     ,-10.00    ,3         ,82        ,0         ,0.32        ,0.1650    ,16.02     ,0,2023-11-08
4123,CF409C18200,168.00    ,189.00    ,189.00    ,185.00    ,185.00    ,158.00    ,17.00     ,-10.00    ,12        ,61        ,0         ,1.13        ,0.1473    ,16.04     ,0,2023-11-08
4124,CF409C18400,145.00    ,167.00    ,175.00    ,160.00    ,175.00    ,135.00    ,30.00     ,-10.00    ,24        ,204       ,-6        ,2.02        ,0.1297    ,16.07     ,0,2023-11-08
4125,CF409P14000,242.00    ,261.00    ,285.00    ,261.00    ,285.00    ,253.00    ,43.00     ,11.00     ,2         ,20        ,2         ,0.27        ,-0.1952   ,15.94     ,0,2023-11-08
4126,CF409P14200,293.00    ,0.00      ,0.00      ,0.00      ,0.00      ,305.00    ,12.00     ,12.00     ,0         ,62        ,0         ,0.00        ,-0.2248   ,15.94     ,0,2023-11-08
4127,CF409P14400,345.00    ,0.00      ,0.00      ,0.00      ,0.00      ,360.00    ,15.00     ,15.00     ,0         ,21        ,0         ,0.00        ,-0.2553   ,15.92     ,0,2023-11-08
4128,CF409P14600,409.00    ,0.00      ,0.00      ,0.00      ,0.00      ,425.00    ,16.00     ,16.00     ,0         ,3         ,0         ,0.00        ,-0.2882   ,15.91     ,0,2023-11-08
4129,CF409P14800,474.00    ,0.00      ,0.00      ,0.00      ,0.00      ,494.00    ,20.00     ,20.00     ,0         ,3         ,0         ,0.00        ,-0.3218   ,15.89     ,0,2023-11-08
4130,CF409P15000,553.00    ,0.00      ,0.00      ,0.00      ,0.00      ,573.00    ,20.00     ,20.00     ,0         ,0         ,0         ,0.00        ,-0.3571   ,15.88     ,0,2023-11-08
4131,CF409P15200,633.00    ,0.00      ,0.00      ,0.00      ,0.00      ,655.00    ,22.00     ,22.00     ,0         ,12        ,0         ,0.00        ,-0.3928   ,15.86     ,0,2023-11-08
4132,CF409P15400,726.00    ,0.00      ,0.00      ,0.00      ,0.00      ,750.00    ,24.00     ,24.00     ,0         ,6         ,0         ,0.00        ,-0.4293   ,15.85     ,0,2023-11-08
4133,CF409P15600,821.00    ,0.00      ,0.00      ,0.00      ,0.00      ,846.00    ,25.00     ,25.00     ,0         ,9         ,0         ,0.00        ,-0.4660   ,15.84     ,0,2023-11-08
4134,CF409P15800,928.00    ,0.00      ,0.00      ,0.00      ,0.00      ,957.00    ,29.00     ,29.00     ,0         ,9         ,0         ,0.00        ,-0.5023   ,15.82     ,0,2023-11-08
4135,CF409P16000,"1,039.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,067.00  ",28.00     ,28.00     ,0         ,9         ,0         ,0.00        ,-0.5388   ,15.81     ,0,2023-11-08
4136,CF409P16200,"1,158.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,191.00  ",33.00     ,33.00     ,0         ,6         ,0         ,0.00        ,-0.5738   ,15.80     ,0,2023-11-08
4137,CF409P16400,"1,286.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,320.00  ",34.00     ,34.00     ,0         ,7         ,0         ,0.00        ,-0.6083   ,15.82     ,0,2023-11-08
4138,CF409P16600,"1,418.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,456.00  ",38.00     ,38.00     ,0         ,6         ,0         ,0.00        ,-0.6409   ,15.85     ,0,2023-11-08
4139,CF409P16800,"1,561.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,599.00  ",38.00     ,38.00     ,0         ,6         ,0         ,0.00        ,-0.6723   ,15.87     ,0,2023-11-08
4140,CF409P17000,"1,703.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,745.00  ",42.00     ,42.00     ,0         ,0         ,0         ,0.00        ,-0.7028   ,15.90     ,0,2023-11-08
4141,CF409P17200,"1,857.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,900.00  ",43.00     ,43.00     ,0         ,3         ,0         ,0.00        ,-0.7305   ,15.92     ,0,2023-11-08
4142,CF409P17400,"2,013.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,055.00  ",42.00     ,42.00     ,0         ,0         ,0         ,0.00        ,-0.7583   ,15.95     ,0,2023-11-08
4143,CF409P17600,"2,173.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,220.00  ",47.00     ,47.00     ,0         ,0         ,0         ,0.00        ,-0.7824   ,15.97     ,0,2023-11-08
4144,CF409P17800,"2,339.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,386.00  ",47.00     ,47.00     ,0         ,0         ,0         ,0.00        ,-0.8060   ,16.00     ,0,2023-11-08
4145,CF409P18000,"2,506.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,556.00  ",50.00     ,50.00     ,0         ,0         ,0         ,0.00        ,-0.8283   ,16.02     ,0,2023-11-08
4146,CF409P18200,"2,681.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,731.00  ",50.00     ,50.00     ,0         ,3         ,0         ,0.00        ,-0.8478   ,16.04     ,0,2023-11-08
4147,CF409P18400,"2,857.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,907.00  ",50.00     ,50.00     ,0         ,2         ,0         ,0.00        ,-0.8675   ,16.07     ,0,2023-11-08
4148,CF401C12800,"2,935.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,970.00  ",35.00     ,35.00     ,0         ,25        ,0         ,0.00        ,1.0000    ,24.30     ,0,2023-11-09
4149,CF401C13000,"2,735.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,770.00  ",35.00     ,35.00     ,0         ,4         ,0         ,0.00        ,0.9998    ,23.74     ,0,2023-11-09
4150,CF401C13200,"2,535.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,570.00  ",35.00     ,35.00     ,0         ,12        ,0         ,0.00        ,0.9977    ,23.19     ,0,2023-11-09
4151,CF401C13400,"2,336.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,371.00  ",35.00     ,35.00     ,0         ,9         ,0         ,0.00        ,0.9941    ,22.64     ,0,2023-11-09
4152,CF401C13600,"2,137.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,172.00  ",35.00     ,35.00     ,0         ,6         ,0         ,0.00        ,0.9893    ,22.09     ,0,2023-11-09
4153,CF401C13800,"1,940.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,975.00  ",35.00     ,35.00     ,0         ,7         ,0         ,0.00        ,0.9819    ,21.56     ,0,2023-11-09
4154,CF401C14000,"1,744.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,779.00  ",35.00     ,35.00     ,0         ,106       ,0         ,0.00        ,0.9713    ,21.03     ,0,2023-11-09
4155,CF401C14200,"1,552.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,585.00  ",33.00     ,33.00     ,0         ,84        ,0         ,0.00        ,0.9562    ,20.52     ,0,2023-11-09
4156,CF401C14400,"1,363.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,395.00  ",32.00     ,32.00     ,0         ,310       ,0         ,0.00        ,0.9352    ,20.03     ,0,2023-11-09
4157,CF401C14600,"1,180.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,210.00  ",30.00     ,30.00     ,0         ,243       ,0         ,0.00        ,0.9061    ,19.55     ,0,2023-11-09
4158,CF401C14800,"1,004.00  ","1,110.00  ","1,110.00  ","1,011.00  ","1,011.00  ","1,031.00  ",7.00      ,27.00     ,9         ,336       ,0         ,4.67        ,0.8670    ,19.11     ,0,2023-11-09
4159,CF401C15000,837.00    ,885.00    ,956.00    ,792.00    ,855.00    ,860.00    ,18.00     ,23.00     ,151       ,889       ,27        ,64.87       ,0.8161    ,18.71     ,0,2023-11-09
4160,CF401C15200,682.00    ,725.00    ,775.00    ,638.00    ,687.00    ,702.00    ,5.00      ,20.00     ,203       ,543       ,-34       ,71.51       ,0.7521    ,18.35     ,0,2023-11-09
4161,CF401C15400,543.00    ,601.00    ,638.00    ,500.00    ,549.00    ,557.00    ,6.00      ,14.00     ,256       ,456       ,1         ,71.31       ,0.6755    ,18.05     ,0,2023-11-09
4162,CF401C15600,421.00    ,456.00    ,500.00    ,381.00    ,433.00    ,430.00    ,12.00     ,9.00      ,736       ,"1,231     ",13        ,158.20      ,0.5885    ,17.82     ,0,2023-11-09
4163,CF401C15800,318.00    ,350.00    ,389.00    ,279.00    ,331.00    ,324.00    ,13.00     ,6.00      ,"3,267     ","2,435     ",99        ,532.31      ,0.4955    ,17.68     ,0,2023-11-09
4164,CF401C16000,236.00    ,225.00    ,293.00    ,210.00    ,245.00    ,238.00    ,9.00      ,2.00      ,"8,039     ","7,371     ","1,004     ",986.00      ,0.4034    ,17.64     ,0,2023-11-09
4165,CF401C16200,171.00    ,170.00    ,213.00    ,148.00    ,175.00    ,172.00    ,4.00      ,1.00      ,"7,426     ","6,671     ",-318      ,652.04      ,0.3184    ,17.72     ,0,2023-11-09
4166,CF401C16400,122.00    ,125.00    ,152.00    ,103.00    ,128.00    ,123.00    ,6.00      ,1.00      ,"9,485     ","10,820    ","1,093     ",592.56      ,0.2451    ,17.94     ,0,2023-11-09
4167,CF401C16600,85.00     ,90.00     ,108.00    ,76.00     ,90.00     ,88.00     ,5.00      ,3.00      ,"9,179     ","10,255    ",356       ,414.68      ,0.1859    ,18.29     ,0,2023-11-09
4168,CF401C16800,58.00     ,63.00     ,77.00     ,56.00     ,63.00     ,63.00     ,5.00      ,5.00      ,"6,787     ","7,385     ",205       ,216.02      ,0.1405    ,18.77     ,0,2023-11-09
4169,CF401C17000,39.00     ,46.00     ,57.00     ,42.00     ,48.00     ,47.00     ,9.00      ,8.00      ,"14,411    ","20,099    ",733       ,350.06      ,0.1067    ,19.37     ,0,2023-11-09
4170,CF401C17200,26.00     ,35.00     ,41.00     ,31.00     ,36.00     ,35.00     ,10.00     ,9.00      ,"4,904     ","11,173    ",265       ,86.91       ,0.0816    ,20.07     ,0,2023-11-09
4171,CF401C17400,17.00     ,26.00     ,31.00     ,24.00     ,26.00     ,28.00     ,9.00      ,11.00     ,"6,333     ","8,265     ",-55       ,83.92       ,0.0644    ,20.85     ,0,2023-11-09
4172,CF401C17600,11.00     ,24.00     ,25.00     ,20.00     ,22.00     ,22.00     ,11.00     ,11.00     ,"5,059     ","12,444    ",128       ,55.30       ,0.0514    ,21.69     ,0,2023-11-09
4173,CF401C17800,7.00      ,18.00     ,20.00     ,15.00     ,16.00     ,18.00     ,9.00      ,11.00     ,"4,613     ","9,587     ",-397      ,38.07       ,0.0417    ,22.57     ,0,2023-11-09
4174,CF401C18000,4.00      ,16.00     ,18.00     ,13.00     ,14.00     ,15.00     ,10.00     ,11.00     ,"3,803     ","27,620    ",-697      ,27.86       ,0.0344    ,23.46     ,0,2023-11-09
4175,CF401C18200,3.00      ,12.00     ,13.00     ,10.00     ,10.00     ,13.00     ,7.00      ,10.00     ,443       ,"5,601     ",-145      ,2.50        ,0.0290    ,24.37     ,0,2023-11-09
4176,CF401C18400,2.00      ,9.00      ,10.00     ,9.00      ,9.00      ,11.00     ,7.00      ,9.00      ,258       ,"4,726     ",-51       ,1.22        ,0.0240    ,25.28     ,0,2023-11-09
4177,CF401C18600,1.00      ,12.00     ,12.00     ,8.00      ,9.00      ,10.00     ,8.00      ,9.00      ,426       ,"12,459    ",-104      ,1.93        ,0.0209    ,26.17     ,0,2023-11-09
4178,CF401C18800,1.00      ,8.00      ,10.00     ,7.00      ,7.00      ,8.00      ,6.00      ,7.00      ,"1,808     ","3,497     ",48        ,7.40        ,0.0181    ,27.06     ,0,2023-11-09
4179,CF401C19000,1.00      ,8.00      ,8.00      ,6.00      ,7.00      ,7.00      ,6.00      ,6.00      ,536       ,"7,818     ",-197      ,1.88        ,0.0154    ,27.93     ,0,2023-11-09
4180,CF401C19200,1.00      ,7.00      ,9.00      ,7.00      ,8.00      ,6.00      ,7.00      ,5.00      ,532       ,"11,827    ",157       ,2.14        ,0.0135    ,28.78     ,0,2023-11-09
4181,CF401C19400,1.00      ,6.00      ,7.00      ,5.00      ,5.00      ,6.00      ,4.00      ,5.00      ,148       ,"4,343     ",-35       ,0.43        ,0.0120    ,29.61     ,0,2023-11-09
4182,CF401C19600,1.00      ,6.00      ,6.00      ,6.00      ,6.00      ,5.00      ,5.00      ,4.00      ,102       ,"2,554     ",-100      ,0.31        ,0.0105    ,30.42     ,0,2023-11-09
4183,CF401C19800,1.00      ,0.00      ,0.00      ,0.00      ,0.00      ,4.00      ,3.00      ,3.00      ,0         ,"1,992     ",0         ,0.00        ,0.0091    ,31.21     ,0,2023-11-09
4184,CF401C20000,1.00      ,3.00      ,5.00      ,3.00      ,4.00      ,4.00      ,3.00      ,3.00      ,"1,669     ","11,291    ",-540      ,3.13        ,0.0081    ,31.98     ,0,2023-11-09
4185,CF401C20400,1.00      ,5.00      ,5.00      ,4.00      ,4.00      ,3.00      ,3.00      ,2.00      ,686       ,"15,988    ",-185      ,1.49        ,0.0065    ,33.47     ,0,2023-11-09
4186,CF401P12800,1.00      ,5.00      ,6.00      ,4.00      ,5.00      ,1.00      ,4.00      ,0.00      ,183       ,"8,986     ",69        ,0.52        ,-0.0020   ,24.30     ,0,2023-11-09
4187,CF401P13000,1.00      ,6.00      ,6.00      ,5.00      ,5.00      ,1.00      ,4.00      ,0.00      ,58        ,"1,670     ",0         ,0.15        ,-0.0033   ,23.74     ,0,2023-11-09
4188,CF401P13200,1.00      ,0.00      ,0.00      ,0.00      ,0.00      ,2.00      ,1.00      ,1.00      ,0         ,"1,309     ",0         ,0.00        ,-0.0052   ,23.19     ,0,2023-11-09
4189,CF401P13400,2.00      ,5.00      ,5.00      ,4.00      ,4.00      ,3.00      ,2.00      ,1.00      ,22        ,"1,118     ",-7        ,0.05        ,-0.0081   ,22.64     ,0,2023-11-09
4190,CF401P13600,4.00      ,6.00      ,6.00      ,5.00      ,6.00      ,5.00      ,2.00      ,1.00      ,504       ,"1,857     ",-58       ,1.46        ,-0.0123   ,22.09     ,0,2023-11-09
4191,CF401P13800,7.00      ,8.00      ,9.00      ,7.00      ,7.00      ,7.00      ,0.00      ,0.00      ,"15,851    ","2,369     ",225       ,63.29       ,-0.0191   ,21.56     ,0,2023-11-09
4192,CF401P14000,12.00     ,13.00     ,16.00     ,12.00     ,12.00     ,12.00     ,0.00      ,0.00      ,"20,501    ","4,999     ",114       ,126.03      ,-0.0291   ,21.03     ,0,2023-11-09
4193,CF401P14200,20.00     ,16.00     ,20.00     ,14.00     ,15.00     ,18.00     ,-5.00     ,-2.00     ,"5,526     ","3,633     ",51        ,45.51       ,-0.0436   ,20.52     ,0,2023-11-09
4194,CF401P14400,31.00     ,27.00     ,32.00     ,21.00     ,24.00     ,28.00     ,-7.00     ,-3.00     ,"5,358     ","5,043     ",224       ,69.38       ,-0.0642   ,20.03     ,0,2023-11-09
4195,CF401P14600,47.00     ,41.00     ,49.00     ,33.00     ,36.00     ,42.00     ,-11.00    ,-5.00     ,"5,956     ","6,488     ",70        ,117.50      ,-0.0928   ,19.55     ,0,2023-11-09
4196,CF401P14800,71.00     ,63.00     ,75.00     ,51.00     ,56.00     ,63.00     ,-15.00    ,-8.00     ,"6,014     ","6,119     ",277       ,181.99      ,-0.1315   ,19.11     ,0,2023-11-09
4197,CF401P15000,104.00    ,99.00     ,114.00    ,79.00     ,87.00     ,92.00     ,-17.00    ,-12.00    ,"15,092    ","30,423    ","-1,046    ",716.42      ,-0.1821   ,18.71     ,0,2023-11-09
4198,CF401P15200,148.00    ,132.00    ,157.00    ,111.00    ,124.00    ,133.00    ,-24.00    ,-15.00    ,"4,797     ","10,250    ",-20       ,318.39      ,-0.2458   ,18.35     ,0,2023-11-09
4199,CF401P15400,208.00    ,200.00    ,221.00    ,159.00    ,175.00    ,188.00    ,-33.00    ,-20.00    ,"8,222     ","7,620     ",579       ,767.19      ,-0.3222   ,18.05     ,0,2023-11-09
4200,CF401P15600,286.00    ,238.00    ,303.00    ,221.00    ,246.00    ,260.00    ,-40.00    ,-26.00    ,"4,647     ","9,401     ",226       ,604.08      ,-0.4091   ,17.82     ,0,2023-11-09
4201,CF401P15800,383.00    ,351.00    ,409.00    ,304.00    ,339.00    ,354.00    ,-44.00    ,-29.00    ,"2,550     ","12,067    ",164       ,443.36      ,-0.5020   ,17.68     ,1,2023-11-09
4202,CF401P16000,500.00    ,459.00    ,538.00    ,408.00    ,456.00    ,468.00    ,-44.00    ,-32.00    ,"1,773     ","12,853    ",-270      ,419.16      ,-0.5942   ,17.64     ,0,2023-11-09
4203,CF401P16200,635.00    ,589.00    ,664.00    ,529.00    ,589.00    ,601.00    ,-46.00    ,-34.00    ,978       ,"5,474     ",-35       ,296.50      ,-0.6794   ,17.72     ,0,2023-11-09
4204,CF401P16400,785.00    ,720.00    ,825.00    ,676.00    ,741.00    ,751.00    ,-44.00    ,-34.00    ,380       ,"4,371     ",-16       ,143.87      ,-0.7529   ,17.94     ,0,2023-11-09
4205,CF401P16600,948.00    ,879.00    ,994.00    ,827.00    ,894.00    ,916.00    ,-54.00    ,-32.00    ,265       ,"4,694     ",-33       ,120.48      ,-0.8123   ,18.29     ,0,2023-11-09
4206,CF401P16800,"1,121.00  ","1,034.00  ","1,104.00  ","1,034.00  ","1,104.00  ","1,091.00  ",-17.00    ,-30.00    ,21        ,"3,948     ",-10       ,10.95       ,-0.8580   ,18.77     ,0,2023-11-09
4207,CF401P17000,"1,302.00  ","1,194.00  ","1,326.00  ","1,194.00  ","1,307.00  ","1,274.00  ",5.00      ,-28.00    ,111       ,"6,896     ",-1        ,71.56       ,-0.8922   ,19.37     ,0,2023-11-09
4208,CF401P17200,"1,488.00  ","1,365.00  ","1,531.00  ","1,365.00  ","1,438.00  ","1,462.00  ",-50.00    ,-26.00    ,54        ,"8,383     ",0         ,39.96       ,-0.9177   ,20.07     ,0,2023-11-09
4209,CF401P17400,"1,679.00  ","1,611.00  ","1,695.00  ","1,611.00  ","1,695.00  ","1,655.00  ",16.00     ,-24.00    ,88        ,"8,376     ",0         ,73.36       ,-0.9352   ,20.85     ,0,2023-11-09
4210,CF401P17600,"1,873.00  ","1,886.00  ","1,886.00  ","1,821.00  ","1,830.00  ","1,849.00  ",-43.00    ,-24.00    ,28        ,"2,151     ",0         ,25.94       ,-0.9485   ,21.69     ,0,2023-11-09
4211,CF401P17800,"2,069.00  ","2,090.00  ","2,090.00  ","2,090.00  ","2,090.00  ","2,045.00  ",21.00     ,-24.00    ,1         ,"1,047     ",-1        ,1.05        ,-0.9586   ,22.57     ,0,2023-11-09
4212,CF401P18000,"2,267.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,242.00  ",-25.00    ,-25.00    ,0         ,"1,019     ",0         ,0.00        ,-0.9662   ,23.46     ,0,2023-11-09
4213,CF401P18200,"2,466.00  ","2,487.00  ","2,499.00  ","2,487.00  ","2,499.00  ","2,439.00  ",33.00     ,-27.00    ,15        ,"1,368     ",0         ,18.67       ,-0.9719   ,24.37     ,0,2023-11-09
4214,CF401P18400,"2,665.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,637.00  ",-28.00    ,-28.00    ,0         ,504       ,0         ,0.00        ,-0.9772   ,25.28     ,0,2023-11-09
4215,CF401P18600,"2,865.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,836.00  ",-29.00    ,-29.00    ,0         ,138       ,0         ,0.00        ,-0.9805   ,26.17     ,0,2023-11-09
4216,CF401P18800,"3,065.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,035.00  ",-30.00    ,-30.00    ,0         ,41        ,0         ,0.00        ,-0.9837   ,27.06     ,0,2023-11-09
4217,CF401P19000,"3,265.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,234.00  ",-31.00    ,-31.00    ,0         ,16        ,0         ,0.00        ,-0.9867   ,27.93     ,0,2023-11-09
4218,CF401P19200,"3,465.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,433.00  ",-32.00    ,-32.00    ,0         ,24        ,0         ,0.00        ,-0.9887   ,28.78     ,0,2023-11-09
4219,CF401P19400,"3,665.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,632.00  ",-33.00    ,-33.00    ,0         ,3         ,0         ,0.00        ,-0.9905   ,29.61     ,0,2023-11-09
4220,CF401P19600,"3,865.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,832.00  ",-33.00    ,-33.00    ,0         ,0         ,0         ,0.00        ,-0.9923   ,30.42     ,0,2023-11-09
4221,CF401P19800,"4,065.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"4,031.00  ",-34.00    ,-34.00    ,0         ,0         ,0         ,0.00        ,-0.9940   ,31.21     ,0,2023-11-09
4222,CF401P20000,"4,265.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"4,231.00  ",-34.00    ,-34.00    ,0         ,10        ,0         ,0.00        ,-0.9952   ,31.98     ,0,2023-11-09
4223,CF401P20400,"4,665.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"4,630.00  ",-35.00    ,-35.00    ,0         ,9         ,0         ,0.00        ,-0.9973   ,33.47     ,0,2023-11-09
4224,CF403C13600,"1,991.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,993.00  ",2.00      ,2.00      ,0         ,0         ,0         ,0.00        ,0.9472    ,16.85     ,0,2023-11-09
4225,CF403C13800,"1,805.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,806.00  ",1.00      ,1.00      ,0         ,0         ,0         ,0.00        ,0.9265    ,16.76     ,0,2023-11-09
4226,CF403C14000,"1,625.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,626.00  ",1.00      ,1.00      ,0         ,0         ,0         ,0.00        ,0.8995    ,16.68     ,0,2023-11-09
4227,CF403C14200,"1,452.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,452.00  ",0.00      ,0.00      ,0         ,50        ,0         ,0.00        ,0.8672    ,16.60     ,0,2023-11-09
4228,CF403C14400,"1,286.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,285.00  ",-1.00     ,-1.00     ,0         ,50        ,0         ,0.00        ,0.8295    ,16.53     ,0,2023-11-09
4229,CF403C14600,"1,128.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,126.00  ",-2.00     ,-2.00     ,0         ,4         ,0         ,0.00        ,0.7862    ,16.47     ,0,2023-11-09
4230,CF403C14800,979.00    ,"1,041.00  ","1,050.00  ",940.00    ,961.00    ,977.00    ,-18.00    ,-2.00     ,130       ,394       ,32        ,63.97       ,0.7375    ,16.41     ,0,2023-11-09
4231,CF403C15000,843.00    ,890.00    ,908.00    ,816.00    ,824.00    ,841.00    ,-19.00    ,-2.00     ,107       ,367       ,37        ,45.53       ,0.6829    ,16.37     ,0,2023-11-09
4232,CF403C15200,719.00    ,761.00    ,761.00    ,688.00    ,707.00    ,716.00    ,-12.00    ,-3.00     ,69        ,539       ,-1        ,24.81       ,0.6251    ,16.34     ,0,2023-11-09
4233,CF403C15400,606.00    ,632.00    ,653.00    ,577.00    ,594.00    ,603.00    ,-12.00    ,-3.00     ,342       ,383       ,15        ,101.42      ,0.5651    ,16.32     ,0,2023-11-09
4234,CF403C15600,504.00    ,524.00    ,544.00    ,463.00    ,490.00    ,501.00    ,-14.00    ,-3.00     ,967       ,697       ,312       ,242.56      ,0.5041    ,16.31     ,0,2023-11-09
4235,CF403C15800,416.00    ,427.00    ,454.00    ,392.00    ,418.00    ,413.00    ,2.00      ,-3.00     ,140       ,491       ,12        ,28.70       ,0.4437    ,16.32     ,0,2023-11-09
4236,CF403C16000,342.00    ,368.00    ,376.00    ,314.00    ,341.00    ,339.00    ,-1.00     ,-3.00     ,299       ,945       ,0         ,50.03       ,0.3858    ,16.34     ,0,2023-11-09
4237,CF403C16200,277.00    ,285.00    ,300.00    ,254.00    ,277.00    ,274.00    ,0.00      ,-3.00     ,374       ,"1,162     ",103       ,51.29       ,0.3312    ,16.39     ,0,2023-11-09
4238,CF403C16400,222.00    ,230.00    ,237.00    ,200.00    ,222.00    ,219.00    ,0.00      ,-3.00     ,423       ,"1,449     ",77        ,45.33       ,0.2804    ,16.45     ,0,2023-11-09
